material_id,material_type,tensile_strength_mpa,weight_capacity_kg,density_g_cm3,biodegradability_score,biodegradation_time_days,co2_emission_score,recyclability_percentage,production_cost_per_kg,co2_impact_index,cost_efficiency_index,material_suitability_score,predicted_cost,predicted_co2,predicted_cost_norm,predicted_co2_norm,ai_recommendation_score
7354,PLA (Polylactic Acid),0.5445712348887131,0.959079283887468,0.6799999999999999,0.8277894736842104,0.3380878155048077,0.002620659532649,0.8919117647058824,0.0331168246279486,0.9254088652801152,0.8378484257816747,0.8556679683023342,0.042381479418131224,0.0045450227,0.02729854323073519,0.005620424,0.9579660143369991
837,Seaweed/Kelp-based Polymer,0.9150378488306404,0.8901202993274604,0.32,0.0402105263157894,0.6041259765624999,0.0240227123826162,0.9632352941176472,0.0350984297280797,0.6926988605269582,0.9275080725561984,0.8285985880490728,0.045833860490373496,0.026323052,0.030863231553573126,0.027393281,0.9424171302858555
56,PHA (Polyhydroxyalkanoates),0.9220427070387528,0.9506488585772476,0.8200000000000001,0.6673684210526316,0.0946702223557692,0.0635509936667393,0.7295588235294118,0.0064051882024439,0.8143467941883022,0.9592453944038226,0.89670603199845,0.03989933311789363,0.067646086,0.024735651780781305,0.0687065,0.9419643526278376
758,Recycled HDPE,0.5336120212405377,0.9917590224495596,0.28,0.275157894736842,0.893047626201923,0.0305743612142388,0.7754411764705883,0.0146618761196569,0.7223484231080508,0.8517465626591665,0.7821750986758967,0.03840079646530512,0.031199867,0.023188367169074908,0.032268938,0.9342521141879687
7764,Blended Starch,0.7134787029714156,0.528369802027091,0.26,0.4437894736842105,0.6075439453124999,0.0200917230836426,0.6730882352941175,0.0026921806663397,0.7577086276222653,0.7714776792330161,0.7358593732419633,0.031115913443189595,0.022282418,0.01566650417110942,0.023353606,0.9315638601972799
4880,Coconut Coir Composite,0.8242006552931871,0.951122477976698,0.28,0.9934736842105264,0.7599252554086537,0.0200917230836426,0.0473529411764706,0.1011219087460843,0.7974668319566307,0.8921481764825319,0.8533783167026535,0.1034653788500711,0.022106934,0.09036952481186772,0.023178166,0.9252565953000152
1066,Hemp Fiber Composite,0.7377697435318042,0.6538789428815004,0.78,0.1882105263157896,0.9721491887019228,0.0428041056999342,0.8629411764705884,0.0041833885447212,0.7076493403388875,0.8158212505061029,0.7485531049793267,0.03681141548905853,0.041267637,0.021547283033803818,0.042334314,0.9241579745574751
6198,Recycled HDPE,0.8423906903174783,0.9129487543809792,0.4000000000000001,0.5313684210526315,0.5030517578124999,0.0015287180607119,0.0286764705882353,0.1037940731992914,0.6643814614030805,0.8850842041298207,0.7953202106830064,0.10213236568965046,0.002312156,0.08899314823358505,0.003388088,0.9221115579953737
5959,Recycled PET (rPET),0.7698565133883177,0.6083167566543526,0.5799999999999998,0.655578947368421,0.087383563701923,0.0187813933173182,0.1532352941176471,0.037180115893874,0.7179300463753967,0.7985799346552513,0.7444213194165263,0.06168938702574147,0.019580802,0.047234544311455996,0.020652633,0.9217293973649301
241,Hemp Fiber Composite,0.9406846683990508,0.334659467651795,0.0799999999999998,0.5926315789473686,0.5397573617788461,0.0002183882943873,0.351764705882353,0.0680451165444009,0.7480332207134875,0.7553851941974934,0.728901779569477,0.07301966010684284,0.00032087916,0.05893339542366392,0.001397284,0.9216480909508354
999,Nano-cellulose Composite,0.9504010846232064,0.3974614000189448,0.7,0.3867368421052632,0.6718749999999999,0.0345053505132124,0.9991176470588236,0.0609994095217125,0.7985919067867375,0.7799589815839603,0.7662066038124943,0.061936171937037224,0.035780117,0.047489357228437154,0.036848098,0.9195063684575956
8320,Blended Starch,0.4950853010959213,0.4014398029743298,0.5999999999999999,0.8448421052631578,0.2380277193509614,0.0292640314479142,0.9480882352941176,0.0372401645332719,0.9284382629138136,0.6540614654077666,0.7226524017356573,0.04800232206164705,0.02969784,0.033102233992727735,0.030767268,0.9189826938781838
2450,Chitosan,0.3425601626934809,0.8617978592403146,0.3,0.9218947368421057,0.0665940504807692,0.0148504040183445,0.2041176470588235,0.0492098599865891,0.809966748455224,0.741623462585503,0.7410718866096704,0.07219144519641878,0.015153833,0.05807823837170168,0.016226714,0.9184924103385793
