Integration_ID,Record_ID,Material_ID,Main_Category,Subcategory,Packaging_Format,Primary_Material,Logistics_Region,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Density_g_cm3,Thermal_Stability_C,Environmental_Impact_Score,Production_Cost_per_kg_INR,Moisture_Barrier_g_m2_day,Oxygen_Barrier_cc_m2_day,Barrier_Property,Barrier_Level_Required,Product_Weight_kg,Packaging_Weight_kg,Pack_to_Product_Ratio,Closure_Type,Shelf_Life_Days_Material,Shelf_Life_Days_Packaging,CO2_Emission_Material_kgCO2e,CO2_Emission_Packaging_kgCO2e,Biodegradability_Score_Material,Biodegradability_Score_Packaging,End_of_Life_Score,Overall_Sustainability_Score,Recycling_Label,Breakage_Risk_0_1,Supplier_Region_India,Certification,Material_Compatibility_Score,Weight_Capacity_Margin_kg,Shelf_Life_Adequacy_Days,Recyclability_Percentage_Material,Material_Type,Material_Name
1,1001,52,Pharmaceuticals,Powders,Bottle,PLA,East,97.54357296392641,20.29842502209104,494.2386716124473,1.4388616556893372,222.23315254103676,56.772195859918284,320.8452618020155,38.90188616873272,46.35482353596629,Medium,Basic,1.306334776294316,1.6834982503241902,0.6919556590810517,nan,105.99647555814964,312.79274082039103,3.2025805807218903,0.958089793891749,86.51070526944336,65.5956368537737,44.82012174531933,77.13240868710471,Partial,0.9775569224411966,East,FSC,59.89104986619026,9.409165173490111,223.74170862355317,47.304209603758764,Clay Nanocomposite,Clay Nanocomposite
2,1002,93,Food,Liquids,Sachet,Cork Composite,Central,98.73117176333889,20.971579894638825,340.1815449636292,1.9895648712933331,55.811808381192485,47.47412792836868,287.71754617773695,20.62222073322191,11.813563459081973,Low,Basic,0.6472439914607772,0.6618343233568946,0.4234018771325553,nan,605.0644424678319,390.4085404016465,4.152094398519549,1.314485601128996,22.741611086382942,95.55494363471156,89.22793708385151,87.40043486004626,No,0.8986408527243589,East,FSC,62.02422446262629,8.578065197141084,89.67884621586022,88.44168280349693,Silk Waste,Silk Waste Bio
3,1003,15,Cosmetics,Mixed,Pouch,PBS,East,34.96341481909715,14.658724991296454,371.9167428504071,1.438214100031015,86.75173622823169,28.19268981490623,487.23238009833346,29.9537768927812,48.12401119925602,High,Moderate,2.870930636913398,1.972494610264642,0.32627802005056683,nan,407.4495850435093,158.3406509125142,4.203625383490568,2.819261860799546,48.45618560257491,96.40978427730414,38.54351085957941,81.26129195532482,Partial,0.7258673533576291,West,None,91.14019702482531,3.0761917947315878,504.72688437262536,12.08893769042254,Starch-based,Corn Starch Polymer
4,1004,72,Cosmetics,Pastes,Bottle,Paper-based,East,89.18430469921367,0.9286409134111431,93.41690888082582,1.4882913053024192,178.1143541340122,23.881498181794115,417.24115351500217,49.98334143992337,10.590271643662733,Low,Strong,1.832193698930202,0.7758670178094391,0.5089483221960964,nan,157.4515224491911,416.88038738120684,2.4820145861078684,2.297692205881898,21.073468733302086,88.92395443048301,94.5116594617738,73.6834343231731,Yes,0.32408323380127135,North,None,85.5041937746151,18.069751983279087,673.9187365021519,71.58521665221103,Tea Polyphenol,Green Tea Polyphenol
5,1005,61,Beverages,Mixed,Sachet,PLA,East,51.23386609551134,24.35596609022251,81.41571088175164,1.9951008978528608,117.63995384728074,49.938435756770545,401.57474693051694,80.7403057518541,19.275760558275802,Low,Strong,4.163643108505161,0.5333796395089871,0.5257283294653592,nan,432.98453700124696,215.2304524292973,1.5141935382260916,2.4058698355854227,64.72639365805057,43.44160683348748,45.12503147802844,59.27857410434689,Yes,0.5136870372428514,East,None,98.37042357945919,14.836397177112023,127.30141537040912,68.07518630716852,Silver Nanoparticles,Silver Nanocoating
6,1006,21,Pharmaceuticals,Liquids,Bottle,Alginate,West,50.50947715893716,12.068819217573974,122.11411727109694,1.9929552577397271,58.712334186173635,27.494403513779933,282.7980440886794,72.5754215168834,0.7149389781929383,Medium,Moderate,3.73770076045292,1.7895591194256577,0.5024401772391797,nan,57.567486291251896,610.4635046224166,2.242129667505992,1.645542531362625,89.20723408803327,38.02927446018606,96.83210005377029,87.01419787097458,No,0.6894128921184768,West,ISO 14001,84.74286127376479,8.629761000418407,611.8343594632468,6.239848703920858,Jute Fiber,Jute Fabric
7,1007,83,Cosmetics,Powders,Sachet,Paper-based,South,41.01581055175213,10.143099434203155,242.23802125886132,1.3088365347167445,167.2933347813377,27.76611295534871,199.31425590629357,78.98356312232475,45.16688257590252,High,Basic,1.4185180660583876,1.139154184750156,0.5947084399046764,nan,710.7297770975989,170.1713001984463,3.880187190609147,0.7967918063823658,85.19344268306703,86.85925554350587,85.85744242026746,71.13591745187964,No,0.39457529767372834,East,None,61.81594645525605,2.391787072806185,217.7763083380198,21.705556766817125,Bacterial Cellulose,Bacterial Cellulose
8,1008,87,Beverages,Mixed,Sachet,PLA,South,23.57682196439172,10.176243485092945,99.57928222983907,1.5619361955235573,128.61463969296233,49.65113187279847,58.78134245199224,38.61271092587161,5.307148599067496,Medium,Strong,0.13422540676415753,1.446482375947732,0.5892836052301673,nan,608.1758494003946,281.89864482383314,4.972000515263023,1.8555165553271722,84.89996581650674,72.10887130789166,41.96882693685666,88.92716297518288,Partial,0.5244729849267288,South,ISO 14001,58.34180361965166,16.99864660127685,443.03557188543823,78.77096627741962,Banana Peel,Banana Peel Film
9,1009,75,Cosmetics,Solids,Pouch,PBS,North,41.44071869481788,10.89169656142753,250.85018319837258,1.3769630094047038,122.8189717088034,57.71325923770371,69.54351096187395,25.443559784012347,17.93073004516133,Low,Strong,1.2247130068070142,0.8227135788212171,0.16103599874741417,Fold Seal,212.543842217973,96.5517876836506,2.9943014354600814,2.3618920124200065,48.14687982699888,51.69008243101516,41.22818834041567,53.97982318102831,No,0.1457108876470541,East,ISO 14001,87.7702856395947,3.807832149183281,64.74996679169257,23.377539655885005,Propolis,Propolis Bio-film
10,1010,75,Pharmaceuticals,Pastes,Box,Alginate,East,24.302152426644163,6.433427595232448,302.6911563956015,1.6648585419886404,102.87285693716517,34.00121652308863,63.60706632310018,3.3888376981275155,42.14165889483062,High,Basic,2.857222141999219,1.7749618568277443,0.2998657162232,nan,323.2383244687963,441.5874582579038,1.3780598389210508,0.2108731398663388,23.70637238565677,52.78051812538017,35.91706073886685,75.98625266282937,Yes,0.09357664371977381,North,None,95.04516834244707,13.63092143575705,174.68864506394024,57.773576105394376,Propolis,Propolis Bio-film
11,1011,88,Electronics,Mixed,Sachet,Paper-based,South,93.94976370879706,8.51967383087083,50.149835548298576,1.9260638253600697,51.199578623392526,71.34767646953277,491.2145450499764,62.99217858580401,39.6157071435228,Low,Moderate,0.4410374874523409,1.8362731738388114,0.7229021311906795,nan,306.69850635035965,689.3804450591359,0.6887064504686644,0.518573509143427,33.79341773229885,88.2665746310811,47.31487725494687,91.43538953450545,No,0.1673097432417785,East,ECOCERT,95.58364192242983,7.122361140954173,115.39802584900505,8.371335099144439,Avocado Seed,Avocado Seed Polymer
