material_id,material_type,tensile_strength_mpa,weight_capacity_kg,density_g_cm3,biodegradability_score,biodegradation_time_days,co2_emission_score,recyclability_percentage,production_cost_per_kg,co2_impact_index,cost_efficiency_index,material_suitability_score
1,Alginate,0.3746469325499943,0.9136118215402103,0.06000000000000005,0.6456842105263159,0.26880821814903844,0.8648176457741867,0.9166176470588235,0.4696804411573374,0.44461996968256606,0.5986054497641264,0.5461160431876975
2,Alginate,0.9509659925432155,0.5253386378706071,0.3600000000000001,0.4023157894736842,0.8023963341346152,0.02620659532649028,0.9501470588235293,0.9857984967823936,0.797620850943566,0.44857199041118934,0.6461075995832845
3,Polybutylene Succinate (PBS),0.7321206643317137,0.7249218527990908,0.6399999999999999,0.4720000000000002,0.5693641075721153,0.9111159641843198,0.004411764705882337,0.5189403416767582,0.1869243708490166,0.629536618468538,0.47228864744010235
4,Seaweed/Kelp-based Polymer,0.5988023952095809,0.43601401913422383,0.19999999999999996,0.7166315789473687,0.9661395733173076,0.3057436121423891,0.31705882352941184,0.13647054113832202,0.6255294323188985,0.6558567078478126,0.616036097501065
5,Blended Starch,0.15602756750649643,0.6301032490290803,0.8,0.8762105263157896,0.021672175480769232,0.5084079493339158,0.8373529411764705,0.2796965542089092,0.6761297714630731,0.5239606232771095,0.5586492395496307
6,Recycled PP,0.15602756750649643,0.3405323482049825,0.11999999999999988,0.2722105263157897,0.8276554987980769,0.1323433063987769,0.5364705882352941,0.33325994055184693,0.6227856223424073,0.4156639984927049,0.4650358399051928
7,Hemp Fiber Composite,0.05807253417692915,0.30112721417069244,0.7,0.3421052631578949,0.36989182692307687,0.9023804324088227,0.8075,0.9585564307088741,0.31294136274295714,0.12433735222073684,0.2108314608202398
8,Chitosan,0.8663427861258612,0.5782892867291844,0.32000000000000006,0.9307368421052633,0.9223163311298076,0.7499454029264034,0.8533823529411765,0.2635634864240034,0.5749248217566125,0.7279642272869123,0.6656188269029145
9,Paper-based Composite,0.6012879900576205,0.4981528843421427,0.5599999999999998,0.5785263157894738,0.9043438251201922,0.9244376501419527,0.4426470588235294,0.43005834726128156,0.29986848143057165,0.5578089234154163,0.45301504937837156
10,Gelatin,0.7082815501073325,0.579520697167756,0.9400000000000002,0.17894736842105274,0.9410400390624999,0.6833369731382397,0.35897058823529404,0.7495571412844403,0.2838098416042548,0.4865178176687504,0.4369112884367109
